split,variable,mean,sd,sem
test,8 hr TWA,0.03259791874836664,0.04023026468697423,0.008577121250438724
test,Acquired Spectra,156.4090909090909,103.93892853883413,22.159854021714036
test,"Airborne WHO Asbestos Concentration, fibers/cm3",0.09621862050529977,0.10692214381076076,0.022795877654731792
test,"Analyzed volume, cm3",504.192091266527,408.0681480385801,87.00042148373257
test,Asbestos Counted,42.22727272727273,48.91482569896547,10.428675879429262
test,Filter Coverage (%),10.14090909090909,8.562301598169073,1.8254888343824345
test,"Frame Height, px",5632.0,0.0,0.0
test,"Frame Width, px",8192.0,0.0,0.0
test,Frames Analyzed,12.045454545454545,11.97408818569447,2.5528841788953125
test,GT Foreground Fraction (%),1.0898752183949953,2.2361187397815234,0.3371075839335307
test,"Images needed to find 3 fibers at 0.003 f/cm3, #",26.454545454545453,21.71838648906294,4.6303755575562295
test,Median Otsu Coverage (%),2.9870117608959945,3.9724888745980915,0.5988752309501388
test,Minimum number of fibres for early termination,4.5366112486735055,2.838029295641627,0.6050698788690033
test,"Pixel Resolution, nm/px",50.0,0.0,0.0
test,Pump Flow (L/min),1.9,0.0,0.0
test,Volume sampled (L; dm3),247.4318181818182,154.78927115017837,33.00118349338086
test,WHO Asbestos Counted,24.5,24.033211148226492,5.123897833127531
test,accuracy,0.9922641851561589,0.014199915596004312,0.0021167984364950055
test,dice,0.6117248543943513,0.20686037272915284,0.03083692368488863
test,f2,0.6599267135271261,0.20286960889294586,0.03024201573689485
test,fn,32595.088888888888,44068.06313524477,6569.278987143987
test,fp,56800.42222222222,56059.296649938966,8356.82653867265
test,iou,0.4682642277445362,0.19243494350780718,0.028686507661985914
test,parsed_site_number,10.619047619047619,10.57107464014984,2.3067976055007002
test,precision,0.583541370751585,0.2399112687538071,0.035763860366782266
test,recall,0.7193942985732367,0.21872026720568036,0.03260489236858795
test,specificity,0.9965930819667419,0.006728165131300328,0.0010029756398287552
test,tn,26623037.911111113,17445995.453491796,2600695.4512773287
test,tp,82142.22222222222,109579.76032073394,16335.186202353016
test,tversky,0.640273149088737,0.2029553586740187,0.030254798559530494
train,8 hr TWA,0.02037659614613966,0.03334756478958162,0.003239001822416352
train,Acquired Spectra,129.97169811320754,83.93120284150753,8.15211907305961
train,"Airborne WHO Asbestos Concentration, fibers/cm3",0.06656827630604274,0.08394803355844412,0.008153753816800995
train,"Analyzed volume, cm3",585.3850278903512,600.812198449617,58.35603942859
train,Asbestos Counted,28.92452830188679,40.85857096380089,3.968535233326082
train,Filter Coverage (%),12.212264150943396,16.049955957988463,1.5589095313450934
train,"Frame Height, px",5632.0,0.0,0.0
train,"Frame Width, px",8192.0,0.0,0.0
train,Frames Analyzed,13.745283018867925,11.763593005341859,1.1425811576613347
train,GT Foreground Fraction (%),0.9902109065350325,2.2232880722390447,0.15378805169086693
train,"Images needed to find 3 fibers at 0.003 f/cm3, #",26.91509433962264,14.924009370986774,1.449547931172678
train,Median Otsu Coverage (%),3.1756361428121873,4.574201638259869,0.31640414338242456
train,Minimum number of fibres for early termination,4.265382103626343,4.335695862108861,0.4211200094347227
train,"Pixel Resolution, nm/px",50.0,0.0,0.0
train,Pump Flow (L/min),1.900943396226415,0.009712858623572632,0.0009433962264150935
train,Volume sampled (L; dm3),232.6386792452292,236.47366975926406,22.968353225691367
train,WHO Asbestos Counted,17.962264150943398,20.56901253656966,1.9978391079419437
train,accuracy,0.9956336673330541,0.00580004003508953,0.00040119715832737226
train,dice,0.6441482137686736,0.19173372121349117,0.013262498817423746
train,f2,0.73063102138189,0.1635994599811288,0.011316411274962584
train,fn,22672.77033492823,49519.55564437377,3425.3392883434253
train,fp,60944.18660287081,57013.469500287436,3943.7041488536124
train,iou,0.5028108916312815,0.20052011588408397,0.01387026644531223
train,parsed_site_number,8.958762886597938,10.256011982585704,1.041340243608284
train,precision,0.5617680755459957,0.22583877507262723,0.015621594721953336
train,recall,0.8320154299086173,0.16102576513905448,0.011138385080178552
train,specificity,0.9973022041390723,0.002569703359787061,0.00017775009818099576
train,tn,28864747.813397128,16131313.959790064,1115826.318715151
train,tp,99977.27751196173,147919.32600254647,10231.793728128256
train,tversky,0.6964799164595605,0.17358466821100582,0.012007102570694633
val,8 hr TWA,0.024301664806515168,0.03757194533738845,0.007100430259688759
val,Acquired Spectra,115.60714285714286,101.46823596600518,19.175694167033534
val,"Airborne WHO Asbestos Concentration, fibers/cm3",0.06588513594034993,0.0817280272989952,0.01544514538407423
val,"Analyzed volume, cm3",726.3059352042585,722.4094460470704,136.52255278603437
val,Asbestos Counted,31.75,45.85777126273348,8.666304174348372
val,Filter Coverage (%),14.137500000000001,24.20737806491603,4.574764446620557
val,"Frame Height, px",5632.0,0.0,0.0
val,"Frame Width, px",8192.0,0.0,0.0
val,Frames Analyzed,16.035714285714285,13.753066036227173,2.5990851783218525
val,GT Foreground Fraction (%),0.8191943975263586,1.327164643843551,0.19784202406456516
val,"Images needed to find 3 fibers at 0.003 f/cm3, #",27.75,23.971626746820682,4.530211635267988
val,Median Otsu Coverage (%),2.992021918856558,3.520559473836397,0.5248140201552717
val,Minimum number of fibres for early termination,4.519984924725487,2.8290126254338306,0.5346331330542741
val,"Pixel Resolution, nm/px",50.0,0.0,0.0
val,Pump Flow (L/min),1.9,0.0,0.0
val,Volume sampled (L; dm3),246.52500000000003,154.29749193852274,29.159485113594616
val,WHO Asbestos Counted,18.714285714285715,22.528758810573066,4.257535225695117
val,accuracy,0.9951314535038815,0.00508275651589478,0.0007576926055080479
val,dice,0.6176543864541639,0.23273756658087427,0.03469446798618121
val,f2,0.6805085446715842,0.22526253786335318,0.03358015649643853
val,fn,32122.777777777777,46721.34360901143,6964.806687324994
val,fp,74740.57777777778,95135.01508227157,14181.890717628465
val,iou,0.4836508995848906,0.2282086103559373,0.034019331053775886
val,parsed_site_number,7.173913043478261,7.0752589025101695,1.4752934643590099
val,precision,0.5515732758271024,0.2448271977001356,0.03649668378655223
val,recall,0.7511523899640787,0.21944911177338017,0.032713542101815166
val,specificity,0.9964669255049177,0.003771666768135214,0.0005622468854684852
val,tn,24566407.955555554,17120813.09443479,2552220.127281648
val,tp,111783.97777777778,291845.7302218143,43505.79278126944
val,tversky,0.6563220943739344,0.2274258218332407,0.033902639830525466
